Sentiment,Text,Clean_Text,Predicted_Sentiment
Positive,اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم,اسال من بيده ملكوت السماوات والارض ان ييسر لكم اموركم ويرفع قدركم ويعلي شانكم ويبارك لكم فيما اعطاكم ويصرف عنكم ما اذاكم,Positive
Positive,استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه,استاذ عمرو يا ريت شويه تركيز على اخوتنا في بورما انهم يتعرضوا لحرب  حقيقيه,Positive
Negative,استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز,استاذ غاوي غاوي اذا كنت غاوي المسخره روح اشتغل كراكوز,Negative
Negative,استخفف من لجنه التحكيم,استخفف من لجنه التحكيم,Negative
Positive,استعينوا بالله يا مسلمين,استعينوا بالله يا مسلمين,Positive
Negative,استغفر الله مجانين يروحون سوبر ستار,استغفر الله مجانين يروحون سوبر ستار,Negative
Negative,استهبال باستهبال,استهبال باستهبال,Negative
Positive,استودعكم الله الذي لا تضيع ودائعه,استودعكم الله الذي لا تضيع ودائعه,Positive
Negative,اسخف لجنه تحكيم شفتها بحياتي,اسخف لجنه تحكيم شفتها بحياتي,Negative
Negative,اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين,اسعار البنزين مرتفعه في المملكه الاردنيه الهاشميه والشعب اغلبه فقير وماشيه الحياه بدون اي مشاكل لكن اللي يقهرك ان الاردن لا تنتج البنزين,Negative
Positive,اسعد الله صباحكم علامتنا بالخيرات,اسعد الله صباحكم علامتنا بالخيرات,Positive
Negative,اسفل من بعضهم,اسفل من بعضهم,Positive
Negative,اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك.,اسوء شعور لما تتاسف و تندم على شيء ما سويته لما كانت الفرصه متاحه امامك,Positive
Positive,اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف,اسوء شيء ان تكذب لانك ستبدا سلسله لا نهايه لها من الاكاذيب في النهايه ستكشف,Positive
Negative,اسوا شعب الله في الكوميديا,اسوا شعب الله في الكوميديا,Negative
Positive,اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل,اشتقت لمكه و لرائحه مكه و للصلاه في مكه اللهم ارزقني انا و كل من اشتاق الى مكه بزياره عاجلا غير اجل,Positive
Positive,اشداء على الكفار رحماء بينهم,اشداء على الكفار رحماء بينهم,Positive
Negative,اشرب من كاس المر,اشرب من كاس المر,Negative
Positive,اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين,اشهد الله اني احبك فى الله ادعوا ان نحشر مع حبيبنا امامنا محمد صلى الله عليه سلم فى الجنه امين,Positive
Negative,اشي بقهر مش لا هل درجه,اشي بقهر مش لا هل درجه,Negative
Positive,اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور,اصبحنا اصبح الملك لله اللهم لك الحمد احييتنا بعد ما متنا اليك النشور,Positive
Positive,اصدقاء اوفياء ونتعلم منهم,اصدقاء اوفياء ونتعلم منهم,Positive
Negative,اصلا ابو وديع لو كان اجا كان خسر,اصلا ابو وديع لو كان اجا كان خسر,Negative
Negative,اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات,اصلا المغتربين ماعاد بدهم جامعات الاردن، عل فكره في دول ثانيه وجامعات ثانيه اقوى، خليها للذنيبات,Negative
Negative,اصلا سوبر ستار للعاهات,اصلا سوبر ستار للعاهات,Negative
Negative,اصلا كتير من البنات بدهن يحكن مع الشباب,اصلا كتير من البنات بدهن يحكن مع الشباب,Negative
Negative,اصلا هدا يمسى مرض الرهاب الاجتماعي,اصلا هدا يمسى مرض الرهاب الاجتماعي,Negative
Negative,اصلن صاحب البرنامج ماخذ شباب الامه مصخره,اصلن صاحب البرنامج ماخذ شباب الامه مصخره,Negative
Negative,اصواتهم مع التوتر خربت,اصواتهم مع التوتر خربت,Negative
Positive,اضحك امام كل الناس لتسرهم تجبر خواطرهم فتبسمك في وجوههم صدقه,اضحك امام كل الناس لتسرهم تجبر خواطرهم فتبسمك في وجوههم صدقه,Positive
Positive,اضحك تضحكلك الدني,اضحك تضحكلك الدني,Positive
Positive,اضحك وفرفش لكن  بحب واداب اعرف حدود المزح واعرف محله,اضحك وفرفش لكن  بحب واداب اعرف حدود المزح واعرف محله,Positive
Negative,اطالب برحيل هذه الحكومه,اطالب برحيل هذه الحكومه,Negative
Positive,اطفال اليوم رجال الغد ومستقبل الامه,اطفال اليوم رجال الغد ومستقبل الامه,Positive
Positive,اطمئن يا قلبى فرزقى لا ياخذه غيرى,اطمئن يا قلبى فرزقى لا ياخذه غيرى,Positive
Negative,اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها اللهم لاشماته,اظن انهم حبو وانجرحوا وضاعت عقولهم وما دخل قلوبهم الا اغاني الجروح عشان كذا حافظينها وجايين يقولونها اللهم لاشماته,Negative
Negative,اعطيه علي راسي هدا الصح ياحاجه الله اكبر,اعطيه علي راسي هدا الصح ياحاجه الله اكبر,Positive
Negative,اعلن الانسحاب يا حمار,اعلن الانسحاب يا حمار,Negative
Positive,اعمل ليومك غدك كن متفائلا دائما يا صاحبي,اعمل ليومك غدك كن متفائلا دائما يا صاحبي,Positive
Positive,اعنكم الله تقبل منكم يسر طريقكم,اعنكم الله تقبل منكم يسر طريقكم,Positive
Negative,اغرورقت عيناي بالدموع,اغرورقت عيناي بالدموع,Negative
Positive,افتخر اني مسلم نعمه من نعم ربي,افتخر اني مسلم نعمه من نعم ربي,Positive
Positive,افشو السلام بينكم,افشو السلام بينكم,Positive
Positive,افعال لا تضاهيها اقوال,افعال لا تضاهيها اقوال,Positive
Negative,افلام الرعب تاثر على اطفالنا,افلام الرعب تاثر على اطفالنا,Negative
Negative,اقترح تحويلهم الى طبيب نفسي ليس الى القضاء,اقترح تحويلهم الى طبيب نفسي ليس الى القضاء,Negative
Negative,اقرفني شعر تقول حاط دبر امل وجاي,اقرفني شعر تقول حاط دبر امل وجاي,Negative
Negative,اقرفني والله,اقرفني والله,Negative
Negative,اقسم بالله ان العرب اكثر الشعوب تخلفا,اقسم بالله ان العرب اكثر الشعوب تخلفا,Negative
Negative,اقسم بالله انه منتهيي,اقسم بالله انه منتهيي,Negative
Negative,اقسم بالله قرف المريض نفسيا للابد يبقى مريض نفسيا,اقسم بالله قرف المريض نفسيا للابد يبقى مريض نفسيا,Negative
Negative,اقطع راسها وخلص,اقطع راسها وخلص,Negative
Negative,اقل من عادي هذا مستواك اقلب وجهك,اقل من عادي هذا مستواك اقلب وجهك,Negative
Negative,اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله,اكاديمي اللي خلفت عاهات للفن المعاق حاليا فيزيدون الطين بله,Negative
Positive,اكبر مشروع طاقه شمسيه بالعالم...في الاردن اسمه شمس معان..حفظ الله الاردن,اكبر مشروع طاقه شمسيه بالعالمفي الاردن اسمه شمس معانحفظ الله الاردن,Positive
Negative,اكبر مشكله تواجهكك في الاردن ؛ اذا طلعت من الدار شبعان ، بتعرفش وين تروح,اكبر مشكله تواجهكك في الاردن ؛ اذا طلعت من الدار شبعان ، بتعرفش وين تروح,Negative
Negative,اكثر بني ادم يعاني في الحياه هو المغترب بين الاردن والسعوديه لا اللي هنا فاهين عليه ولا اللي هناك والكل ما بحبو,اكثر بني ادم يعاني في الحياه هو المغترب بين الاردن والسعوديه لا اللي هنا فاهين عليه ولا اللي هناك والكل ما بحبو,Negative
Positive,اكرمك الله يا استاذي الفاضل,اكرمك الله يا استاذي الفاضل,Positive
Positive,اكيد الله لا يحرمنا من هالنعمه العظيمه,اكيد الله لا يحرمنا من هالنعمه العظيمه,Positive
Negative,اكيد بقرف,اكيد بقرف,Negative
Positive,اكيد جزاك الله خيرا,اكيد جزاك الله خيرا,Positive
Negative,اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان,اكيد حياتي ما في حدا بشبهك لو في كان نتحرت زمان,Negative
Positive,اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا,اكيد طبعا حب ربنا احسن من حب اي حد وانا فعلا عملت كدا,Positive
Negative,اكيد لا في عندك ناس بتفهم ووفي ناس عند الاجانب ما بتفهم,اكيد لا في عندك ناس بتفهم ووفي ناس عند الاجانب ما بتفهم,Negative
Positive,اكيد ماحدا بيقدر يارب اعن الفقراء واعنا مساعدتهم,اكيد ماحدا بيقدر يارب اعن الفقراء واعنا مساعدتهم,Positive
Negative,الاْردن تعدّل المناهج: تقليصا في الاستشهاد بايات قرانيه واحاديث نبويه، وبدلا من ذلك تمّ اعتماد دروس اقرب الى اخلاق الحياه اليوميه للطالب,الاردن تعدل المناهج تقليصا في الاستشهاد بايات قرانيه واحاديث نبويه، وبدلا من ذلك تم اعتماد دروس اقرب الى اخلاق الحياه اليوميه للطالب,Positive
Negative,الا لعنه الله على الشيعه الى يوم الدين,الا لعنه الله على الشيعه الى يوم الدين,Negative
Negative,الا يكفي ان نسبه مرضى السرطان في الاردن اعلى نسبه عالميه بسبب مفاعل دايمونه الاسرائيلي بكل جهل نضعهه في بلدنا,الا يكفي ان نسبه مرضى السرطان في الاردن اعلى نسبه عالميه بسبب مفاعل دايمونه الاسرائيلي بكل جهل نضعهه في بلدنا,Negative
Positive,الابتسامه كلمه طيبه بدون حروف,الابتسامه كلمه طيبه بدون حروف,Positive
Positive,الاخلاص اللهم انا نسالك الاخلاص فى القول العمل السر العلن,الاخلاص اللهم انا نسالك الاخلاص فى القول العمل السر العلن,Positive
Negative,الاردن كان افضل حالا بمئات المرات في التعليم و الصحه و الزراعه و الاستثمار ... التردي ليس مرتبط بالربيع العربي بل قبله بمده عام,الاردن كان افضل حالا بمئات المرات في التعليم و الصحه و الزراعه و الاستثمار  التردي ليس مرتبط بالربيع العربي بل قبله بمده عام,Negative
Positive,الاردن كثير حلوه من كل النواحي.. طبيعه و معالم و اثار,الاردن كثير حلوه من كل النواحي طبيعه و معالم و اثار,Positive
Negative,الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانه او تشغيل المفاعلات النوويه لاردن ليس لديها سوى شهادات دكتوراه في هذا المجال نظريه بحته ان انشاء مفاعل نووي يعنى مقامره كامله بمئات الملاييين المضحك في الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئه الطاقه النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات علاوه على ان كل هيئه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي يا ساده ان يتم طرح انشاء شركه للتنقيب عن اليورانيوم وبيعه لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول بكميات على الاقل تكفي استهلكنا المحلي,الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانه او تشغيل المفاعلات النوويه لاردن ليس لديها سوى شهادات دكتوراه في هذا المجال نظريه بحته ان انشاء مفاعل نووي يعنى مقامره كامله بمئات الملاييين المضحك في الموضوع ان بدايه المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئه الطاقه النوويه اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات علاوه على ان كل هيئه الطاقه تم انشاها رضوه لفلان وعلنتان الاولي يا ساده ان يتم طرح انشاء شركه للتنقيب عن اليورانيوم وبيعه لتصبح الاردن دوله مصدره لهذه الماده امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول بكميات على الاقل تكفي استهلكنا المحلي,Negative
Positive,الاردن لديه الخبره في مجال اداره الموارد البشريه واستخدام هذه الامكانيات بافضل مايمكن لتوجيه اقتصاد الدوله,الاردن لديه الخبره في مجال اداره الموارد البشريه واستخدام هذه الامكانيات بافضل مايمكن لتوجيه اقتصاد الدوله,Positive
Negative,الاردن هذا الي كله فخر واعتزاز لمدح مشروع الطاقه الشمسيه في الديوان الملكي كيف شعوره لو المشروع طاقه نوويه ؟! شو علاقه الفخر والاعتزاز ؟!,الاردن هذا الي كله فخر واعتزاز لمدح مشروع الطاقه الشمسيه في الديوان الملكي كيف شعوره لو المشروع طاقه نوويه ؟ شو علاقه الفخر والاعتزاز ؟,Negative
Positive,الارواح جنود مجنده من تعارف منها اتلف ومن تنافر منها اختلف,الارواح جنود مجنده من تعارف منها اتلف ومن تنافر منها اختلف,Positive
Negative,الاسف  مافي اي حدا بتحمل الانتقاد ,الاسف  مافي اي حدا بتحمل الانتقاد,Negative
Positive,الاسلام نعمه كبيره من عند ربنا لا تقدر بكنوز الدنيا كلها,الاسلام نعمه كبيره من عند ربنا لا تقدر بكنوز الدنيا كلها,Positive
Positive,الاسلام هو حسن الخلق الا تعرف بان الحبيب صلى الله عليه سلم لقب امينا قبل نزول الوحي,الاسلام هو حسن الخلق الا تعرف بان الحبيب صلى الله عليه سلم لقب امينا قبل نزول الوحي,Positive
Negative,الاعتداءات على المعلمين والاطباء ... جرائم لا تقبل اي تبرير,الاعتداءات على المعلمين والاطباء  جرائم لا تقبل اي تبرير,Negative
Positive,الاكل زاكي كثير كثير,الاكل زاكي كثير كثير,Positive
Negative,الانكسار من اسوء الاشياء,الانكسار من اسوء الاشياء,Negative
Positive,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين,الاهم نكون صادقين مع نفسنا لنكون صادقين مع الاخرين,Positive
Negative,الباقيين سخافه سماجه,الباقيين سخافه سماجه,Negative
Negative,البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل,البرنامج الي بعد سوبر ستار الي يقلده دم ثقيل,Negative
Negative,البرنامج فاشل جدا,البرنامج فاشل جدا,Negative
Positive,البسمه سر من اسرار الحياه,البسمه سر من اسرار الحياه,Positive
Negative,البقاء في الخيال دمار,البقاء في الخيال دمار,Negative
Negative,البنزين يجي من السعوديه باقل الاسعار الحكومه عندنا تدبل سعره,البنزين يجي من السعوديه باقل الاسعار الحكومه عندنا تدبل سعره,Negative
Positive,البيت اللي فيه فرح سعاده دايما بكون متفائل سعيد بحاضره مستقبله,البيت اللي فيه فرح سعاده دايما بكون متفائل سعيد بحاضره مستقبله,Positive
Negative,التخلف بعين امه وعين ابو في جامعات الاردن والزعرنه والفساد والفسق والعشق الممنوع,التخلف بعين امه وعين ابو في جامعات الاردن والزعرنه والفساد والفسق والعشق الممنوع,Negative
Negative,التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله,التطبيقات قليله بالمتجر ولازال امام مايكروسوفت عمل طويل للتغلب على هذه المشكله,Negative
Positive,التفائل حلو في الحياه بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل,التفائل حلو في الحياه بس الاهم تكون عايش مع ناس متفائلين مش تكون لحالك المتفائل,Positive
Positive,التنفس العميق يوفر علاج طبيعي للصداع ,التنفس العميق يوفر علاج طبيعي للصداع,Positive
Positive,الثقه بالله ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضيه,الثقه بالله ثم النفس ويارب اجعلنا من يغير الناس الي ما ترضيه,Positive
Positive,الجمال : ليس فقط شيئا نراه بل هو شيء نكتشفه ، روح جميله ، وفكر جميل ، اخلاق جميله ، وادب جميل,الجمال  ليس فقط شيئا نراه بل هو شيء نكتشفه ، روح جميله ، وفكر جميل ، اخلاق جميله ، وادب جميل,Positive
Positive,"الجنه تحت اقدام الامهات , اللهم اجعل امهاتنا من نساء الجنه",الجنه تحت اقدام الامهات  اللهم اجعل امهاتنا من نساء الجنه,Positive
Negative,الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم,الجيل الي هيحرر فلسطين شوفه في سوريا يقاتل العلويين الكلاب لكن ربي يعلمهم فنون القتال ويربيهم,Negative
Positive,الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفه فى الوجود,الحب الان بقى تيك اواى قليل اوى لما نلقى انسان مخلص فى حبه مع ان الحب ده اجمل واسما عاطفه فى الوجود,Positive
Positive,الحب الحقيقي عمله نادره فعلا وهو نعمه كبيره من الله عزوجل,الحب الحقيقي عمله نادره فعلا وهو نعمه كبيره من الله عزوجل,Positive
Positive,الحب بين الزوجين اوسع ابواب السعاده,الحب بين الزوجين اوسع ابواب السعاده,Positive
Positive,الحب في الله شيء جميل جدا,الحب في الله شيء جميل جدا,Positive
Negative,الحريه غاليه لن تجدها عند متسول اخواني ساذج لايملك منطق ولافكر,الحريه غاليه لن تجدها عند متسول اخواني ساذج لايملك منطق ولافكر,Negative
Negative,الحق عالحقير اللي نزل المنشور بجوز اهله لابسين منهم ولك لاتنزل اشي زي هيك يا ,الحق عالحقير اللي نزل المنشور بجوز اهله لابسين منهم ولك لاتنزل اشي زي هيك يا,Negative
Negative,الحق مش على لجنه التحكيم الحق على الاغبيه المشتركين,الحق مش على لجنه التحكيم الحق على الاغبيه المشتركين,Negative
Negative,الحكم سيئ  ,الحكم سيئ,Negative
Negative,الحكومه قاعده بتخبص رايحين يدمروا البلد الله ينتقم منهم,الحكومه قاعده بتخبص رايحين يدمروا البلد الله ينتقم منهم,Negative
Positive,الحل الوحيد حب الله ورسوله وطاعتهم,الحل الوحيد حب الله ورسوله وطاعتهم,Positive
Positive,الحل الوحيد هو القرب من الله وذكره الا بذكر الله تطمئن القلوب قال الله تعالى,الحل الوحيد هو القرب من الله وذكره الا بذكر الله تطمئن القلوب قال الله تعالى,Positive
Positive,الحلال بين و الحرام بين واتقوا الله,الحلال بين و الحرام بين واتقوا الله,Positive
Positive,الحمد الله على الاسلام يا رب اهدي كل من احب هذا الدين وكل من تردد في دخوله وارحمنا جميعا,الحمد الله على الاسلام يا رب اهدي كل من احب هذا الدين وكل من تردد في دخوله وارحمنا جميعا,Positive
Positive,الحمد انا متفائله جدا في كا امور حياتي ورح اضل هيك دائما,الحمد انا متفائله جدا في كا امور حياتي ورح اضل هيك دائما,Positive
Positive,الحمد لله اصبح على وجهك المشرق كل يوم,الحمد لله اصبح على وجهك المشرق كل يوم,Positive
